"currency","description","displaySymbol","figi","isin","mic","shareClassFIGI","symbol","symbol2","type"
"USD","HANG SANG SIU PO INTERNATION","HSSPF","BBG01V9WVQJ8","","OOTC","BBG00CTN3S42","HSSPF","","Common Stock"
"USD","CEYLON GRAPHITE CORP","CYLYF","BBG000CFQ2C6","","OOTC","BBG001SGLJ88","CYLYF","","Common Stock"
"USD","PROSHARES ULTRASHORT YEN","YCS","BBG000CTBTW1","","ARCX","BBG001T0D5W4","YCS","","ETP"
"USD","NAVYA SAS","NVYAF","BBG00NKCWYP3","","OOTC","BBG00DZQPFS4","NVYAF","","Common Stock"
"USD","CARLYLE SECURED LENDING - CGBD 8.2 12/01/28","CGBDL","BBG01K4JK9G9","","XNAS","","CGBDL","","PUBLIC"
"USD","INVESCO S&P 500 HIGH BETA ET","SPHB","BBG001P2KCH8","","ARCX","BBG001V18CH7","SPHB","","ETP"
"USD","DECISIVE DIVIDEND CORP","DEDVF","BBG01HH0WVL5","","OOTC","BBG004SNMZB6","DEDVF","","Common Stock"
"USD","NEXERA ENERGY INC","EMBYF","BBG000G22Y37","","OOTC","BBG001S80N53","EMBYF","","Common Stock"
"USD","VINCI PARTNERS INVESTMENTS-A","VINP","BBG00YRJVVX5","","XNAS","BBG00YRJVWR0","VINP","","Common Stock"
"USD","CREDIT CORP GROUP LTD","CCGFF","BBG0179HCWP5","","OOTC","BBG001SFPV25","CCGFF","","Common Stock"
"USD","WOORI FINANCIAL-SPON ADR","WF","BBG00MYXJJ27","","XNYS","BBG00MYXJJT8","WF","","ADR"
"USD","NORWOOD FINANCIAL CORP","NWFL","BBG000BN1P63","","XNAS","BBG001S6PY92","NWFL","","Common Stock"
"USD","SINO-OCEAN GROUP-UNSP ADR","SIOLY","BBG000M5PVQ9","","OOTC","BBG001SQ83B2","SIOLY","","ADR"
"USD","FIRST TRUST INDXX GLOBAL NAT","FTRI","BBG000QH5WL4","","XNAS","BBG001T71BV0","FTRI","","ETP"
"USD","STMICROELECTRONICS NV-NY SHS","STM","BBG000BD4GX2","","XNYS","BBG001S5WDM7","STM","","NY Reg Shrs"
"USD","STOREBRAND ASA","SREDF","BBG000BWXHG5","","OOTC","BBG001S6H9G8","SREDF","","Common Stock"
"USD","CONTANGO ORE INC","CTGO","BBG0016YSLB7","","XASE","BBG001TCN726","CTGO","","Common Stock"
"USD","SCE TRUST VI - EIX 5 PERP","SCE.PRL","BBG00GZXFVS8","","XNYS","","SCE.PRL","","PUBLIC"
"USD","AMUNDI MSCI EM ASIA UCITS","ANDXF","BBG011FJMV32","","OOTC","BBG00KDJ1PP5","ANDXF","","ETP"
"USD","HEALTHY COFFEE INTL INC","HCEI","BBG000F2NC42","","OOTC","BBG001SGPQB4","HCEI","","Common Stock"
"USD","FRAPORT AG-UNSP ADR","FPRUY","BBG000GS2LF5","","OOTC","BBG001T2PZR7","FPRUY","","ADR"
"USD","BEKAERT NV","BEKSF","BBG003641V44","","OOTC","BBG001S5XDB8","BEKSF","","Common Stock"
"USD","MAXUS REALTY TRUST INC","MRTI","BBG000HP1PC5","","OOTC","BBG001SD4JX6","MRTI","","REIT"
"USD","LANDA APP LLC 168 BROOKVIEW","LBVDS","BBG01HP2GP06","","OOTC","BBG01HP2GPV2","LBVDS","","Common Stock"
"USD","SPDR DR INTERNATIONAL RL EST","RWX","BBG000Q8TD76","","ARCX","BBG001SRXRL8","RWX","","ETP"
"USD","AXS ESOTERICA NEXTG ECO ETF","WUGI","BBG01C29F496","","BATS","BBG01C29F557","WUGI","","ETP"
"USD","RIVERNRTH/DOUBLELNE STR OPP","OPP","BBG00DK83S42","","XNYS","BBG00DK83S51","OPP","","Closed-End Fund"
"USD","IRWIN NATURALS INC","IWINQ","BBG012S3DXZ2","","OOTC","BBG001S71Q93","IWINQ","","Common Stock"
"USD","NOMAD FOODS LTD","NOMD","BBG0071GM7Y0","","XNYS","BBG0029T14K0","NOMD","","Common Stock"
"USD","STONEPATH GROUP INC","SGRZ","BBG000BD6341","","OOTC","BBG001S6HZQ9","SGRZ","","Common Stock"
"USD","LINIU TECHNOLOGY GROUP","LINUF","BBG000T1CB07","","OOTC","BBG001SYVNP0","LINUF","","Common Stock"
"USD","LuxUrban Hotels Inc","LUXHP","","","OOTC","","LUXHP","",""
"USD","PERIMETER ACQUIS CORP I -30","PMTRW","BBG01VL9PKY8","","XNAS","","PMTRW","","Equity WRT"
"USD","MR PRICE GROUP LTD-SPON ADR","MRPLY","BBG0035HHZZ6","","OOTC","BBG0035HJ0Q1","MRPLY","","ADR"
"USD","ISHARES FUTURE CLOUD 5G AND","IDAT","BBG00ZHZJFG5","","ARCX","BBG00ZHZJG91","IDAT","","ETP"
"USD","RSE ARCHIVE INT SER-WZRDOFOZ","RSVNS","BBG018QTN726","","OOTC","BBG018QTN7X2","RSVNS","","Common Stock"
"USD","SOTERA HEALTH CO","SHC","BBG008LZG0Z5","","XNAS","BBG008LZG101","SHC","","Common Stock"
"USD","EATON VANCE T/A GL DVD INCM","ETG","BBG000JSBCL5","","XNYS","BBG001SJ9S68","ETG","","Closed-End Fund"
"USD","ICECURE MEDICAL LTD","ICCM","BBG005K17W05","","XNAS","BBG001V04FF8","ICCM","","Common Stock"
"USD","MACQUARIE GROUP LTD","MCQEF","BBG000P0WMB5","","OOTC","BBG001S92GN4","MCQEF","","Common Stock"
"USD","CAMBIAR AGGRESSIVE VALUE ETF","CAMX","BBG01F6P7HM4","","ARCX","BBG01F6P7JG7","CAMX","","ETP"
"USD","INVESCO BULLETSHARES 2025 CB","BSCP","BBG00KJR2HF9","","XNAS","BBG00KJR2J47","BSCP","","ETP"
"USD","RICHARDS PACKAGING INCOME FD","RPKIF","BBG000QVH8X0","","OOTC","BBG001SKZ209","RPKIF","","Unit"
"USD","SELECT MEDICAL HOLDINGS CORP","SEM","BBG000QCHMH9","","XNYS","BBG001SMLRT4","SEM","","Common Stock"
"USD","QUANTUM SOLAR POWER CORP","QSPW","BBG000DBVCR0","","OOTC","BBG001SMJ3J1","QSPW","","Common Stock"
"USD","T ROWE PRICE US HIGH YIELD","THYF","BBG019R1PH75","","ARCX","BBG019R1PJ26","THYF","","ETP"
"USD","ON4 COMMUNICATIONS INC","ONCI","BBG000G47844","","OOTC","BBG001SNTXY5","ONCI","","Common Stock"
"USD","WW INTERNATIONAL INC","WGHTQ","BBG000DY6735","","OOTC","BBG001SFWZR1","WGHTQ","","Common Stock"
"USD","JPMORGAN ACTIVE VALUE ETF","JAVA","BBG012NLLBJ4","","ARCX","BBG012NLLCC9","JAVA","","ETP"
"USD","KIORA PHARMACEUTICALS INC","KPRX","BBG0083Y1PH9","","XNAS","BBG0083Y1Q78","KPRX","","Common Stock"
"USD","PANEX RESOURCES INC","DBGF","BBG000K2H4B3","","OOTC","BBG001SL6SX6","DBGF","","Common Stock"
"USD","HITACHI CONSTRUCTION MACHINE","HTCMF","BBG000DSFMV4","","OOTC","BBG001S6BDM8","HTCMF","","Common Stock"
"USD","ACRUENCE ACTIVE HEDGE US ETF","XVOL","BBG00ZWVP625","","BATS","BBG00ZWVP6X1","XVOL","","ETP"
"USD","CELEBI HAVA SERVISI","CBHVF","BBG000DNB9L9","","OOTC","BBG001S938T5","CBHVF","","Common Stock"
"USD","UNEEQO INC","UNEQ","BBG004D8P074","","OOTC","BBG004D8P0Z3","UNEQ","","Common Stock"
"USD","FTAI AVIATION LTD","FTAI","BBG019M62R45","","XNAS","BBG019M62R54","FTAI","","Common Stock"
"USD","IMAGE PROTECT INC","IMTL","BBG000CN0X66","","OOTC","BBG001SCGJG4","IMTL","","Common Stock"
"USD","SYNTHOMER PLC","SYYYF","BBG00FHS2D78","","OOTC","BBG001S63S53","SYYYF","","Common Stock"
"USD","DYNATRONICS CORP","DYNT","BBG000BHJCZ4","","OOTC","BBG001S5QPV7","DYNT","","Common Stock"
"USD","AURORA ENERGY METALS LTD","AEMLF","BBG01JD0HFS0","","OOTC","BBG016MC7Q27","AEMLF","","Common Stock"
"USD","ASKUL CORP","ASKLF","BBG000BJ3HZ6","","OOTC","BBG001SBDPF6","ASKLF","","Common Stock"
"USD","DONGFENG MOTOR GRP-H-UNS ADR","DNFGY","BBG000PXK9Z9","","OOTC","BBG001SNHR62","DNFGY","","ADR"
"USD","CORTEVA INC","CTVA","BBG00BN969C1","","XNYS","BBG00BN969D0","CTVA","","Common Stock"
"USD","FIRST TRUST DEVELOPED MARKET","FDTS","BBG002NCPVF1","","XNAS","BBG002NCPW50","FDTS","","ETP"
"USD","TERUMO CORP-UNSPON ADR","TRUMY","BBG000JTNY41","","OOTC","BBG001T3P1D5","TRUMY","","ADR"
"USD","PACER SOL WHIT FUTURE OF WAR","FOWF","BBG01R9KTVL2","","BATS","BBG01R9KTWL0","FOWF","","ETP"
"USD","LOGAN RIDGE FINANCE CORP","LRFC","BBG004MYLHK9","","XNAS","BBG004MYLJ98","LRFC","","Common Stock"
"USD","MONOTARO CO LTD - UNSP ADR","MONOY","BBG004XNQC72","","OOTC","BBG004XNQCZ1","MONOY","","ADR"
"USD","GLOBALFOUNDRIES INC","GFS","BBG000C2L5G9","","XNAS","BBG001SV0YS3","GFS","","Common Stock"
"USD","KR1 PLC","KROEF","BBG00MPTJSW3","","OOTC","BBG001SRWNF5","KROEF","","Common Stock"
"USD","LANDA APP LLCSER - 8670","LAWAS","BBG01BVQM0P0","","OOTC","BBG01BVQM1K3","LAWAS","","Common Stock"
"USD","CAP GROUP GLOBAL EQ","CGGE","BBG01N7SMLH0","","ARCX","BBG01N7SMMC3","CGGE","","ETP"
"USD","Alfen Beheer BV ADR -UNSP","ABHBY","BBG00VVS7F31","","OOTC","BBG00VVS7FW9","ABHBY","","ADR"
"USD","GREEN ENERGY ENTERPRISES INC","GYOG","BBG000BF44R1","","OOTC","BBG001S7GQ42","GYOG","","Common Stock"
"USD","IPSOS","IPSOF","BBG000DRQ015","","OOTC","BBG001SDL1R3","IPSOF","","Common Stock"
"USD","INROB TECH LTD","IRBL","BBG000BR3Y18","","OOTC","BBG001S6XTF7","IRBL","","Common Stock"
"USD","HEALTHCARE & MEDICAL INVESTM","HLCRF","BBG01B078P22","","OOTC","BBG0084536S9","HLCRF","","REIT"
